type,scenario_id,model,note
full_history_ge_oracle_dag,semantic_decoy_006,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,semantic_decoy_007,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,semantic_decoy_010,response_b,full=1.00 dag=0.50
full_history_ge_oracle_dag,three_way_join_003,response_b,full=0.25 dag=0.25
full_history_ge_oracle_dag,three_way_join_005,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,topic_fork_005,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,topic_fork_006,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,topic_fork_007,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,topic_fork_009,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,two_branch_join_002,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,two_branch_join_004,response_b,full=0.75 dag=0.50
full_history_ge_oracle_dag,two_branch_join_011,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,two_branch_join_014,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,two_branch_join_015,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,compound_turn_011,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,compound_turn_012,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,compound_turn_013,response_b,full=0.25 dag=0.25
full_history_ge_oracle_dag,compound_turn_015,response_b,full=0.75 dag=0.25
full_history_ge_oracle_dag,knowledge_update_011,response_b,full=1.00 dag=0.33
